Id,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,City,Male,Country,Clicked on Ad
0,68.95,35,61833.9,256.09,Wrightburgh,0,Tunisia,0
1,80.23,31,68441.85,193.77,West Jodi,1,Nauru,0
2,69.47,26,59785.94,236.5,Davidton,0,San Marino,0
3,74.15,29,54806.18,245.89,West Terrifurt,1,Italy,0
4,68.37,35,73889.99,225.58,South Manuel,0,Iceland,0
5,59.99,23,59761.56,226.74,Jamieberg,1,Norway,0
6,88.91,33,53852.85,208.36,Brandonstad,0,Myanmar,0
7,66,48,24593.33,131.76,Port Jefferybury,1,Australia,1
8,74.53,30,68862,221.51,West Colin,1,Grenada,0
9,69.88,20,55642.32,183.82,Ramirezton,1,Ghana,0
10,47.64,49,45632.51,122.02,West Brandonton,0,Qatar,1
11,83.07,37,62491.01,230.87,East Theresashire,1,Burundi,0
12,69.57,48,51636.92,113.12,West Katiefurt,1,Egypt,1
13,79.52,24,51739.63,214.23,North Tara,0,Bosnia and Herzegovina,0
14,42.95,33,30976,143.56,West William,0,Barbados,1
15,63.45,23,52182.23,140.64,New Travistown,1,Spain,1
16,55.39,37,23936.86,129.41,West Dylanberg,0,Palestinian Territory,1
17,82.03,41,71511.08,187.53,Pruittmouth,0,Afghanistan,0
18,54.7,36,31087.54,118.39,Jessicastad,1,British Indian Ocean Territory (Chagos Archipelago),1
19,74.58,40,23821.72,135.51,Millertown,1,Russian Federation,1
20,77.22,30,64802.33,224.44,Port Jacqueline,1,Cameroon,0
21,84.59,35,60015.57,226.54,Lake Nicole,1,Cameroon,0
22,41.49,52,32635.7,164.83,South John,0,Burundi,1
23,87.29,36,61628.72,209.93,Pamelamouth,1,Korea,0
24,41.39,41,68962.32,167.22,Harperborough,0,Tokelau,1
25,78.74,28,64828,204.79,Port Danielleberg,1,Monaco,0
26,48.53,28,38067.08,134.14,West Jeremyside,1,Tuvalu,1
27,51.95,52,58295.82,129.23,South Cathyfurt,0,Greece,1
28,70.2,34,32708.94,119.2,Palmerside,0,British Virgin Islands,1
29,76.02,22,46179.97,209.82,West Guybury,0,Bouvet Island (Bouvetoya),0
